author,degree,betweenness,closeness,eigenvector
'John E. Black'],0.0002460024600246002,0.0,0.0002460024600246002,3.276843292072579e-33
['Koji Sato',0.0009840098400984009,0.0,0.0009840098400984009,1.0339894262607107e-13
'Hiroyoshi Shimoyama',0.0009840098400984009,0.0,0.0009840098400984009,1.0339894262607107e-13
'Takao Nagai',0.0009840098400984009,0.0,0.0009840098400984009,1.0339894262607107e-13
'Masaru Ozaki',0.0009840098400984009,0.0,0.0009840098400984009,1.0339894262607107e-13
'Toshihiko Yahara'],0.0009840098400984009,0.0,0.0009840098400984009,1.0339894262607107e-13
['Michael L. Honig',0.0002460024600246002,0.0,0.0006560065600656006,1.0012211285477503e-20
['Janos Gertler',0.0004920049200492004,0.0,0.0004920049200492004,1.3929238239051083e-24
'Gyula Varga',0.0004920049200492004,0.0,0.0004920049200492004,1.3929238239051083e-24
'Ferenc Sipos'],0.0004920049200492004,0.0,0.0004920049200492004,1.3929238239051083e-24
['Czernilofsky Ap',0.0014760147601476014,0.0,0.0014760147601476014,1.4955118060825107e-06
'W. DeLorbe',0.0014760147601476014,0.0,0.0014760147601476014,1.4955118060825107e-06
'R Swanstrom',0.0014760147601476014,0.0,0.0014760147601476014,1.4955118060825107e-06
'Harold Varmus',0.0014760147601476014,0.0,0.0014760147601476014,1.4955118060825107e-06
'J M Bishop',0.0014760147601476014,0.0,0.0014760147601476014,1.4955118060825107e-06
'Tischer E',0.0014760147601476014,0.0,0.0014760147601476014,1.4955118060825107e-06
'Howard M. Goodman'],0.0014760147601476014,0.0,0.0014760147601476014,1.4955118060825107e-06
['Marsden S. Blois',0.0004920049200492004,0.0,0.0004920049200492004,1.3929238239051083e-24
'David D. Sherertz',0.0004920049200492004,0.0,0.0004920049200492004,1.3929238239051083e-24
'Mark S. Tuttle'],0.0004920049200492004,0.0,0.0004920049200492004,1.3929238239051083e-24
['Suraj M. Alexander',0.0002460024600246002,0.0,0.0002460024600246002,3.276843292072579e-33
'Gary R. Weckman'],0.0002460024600246002,0.0,0.0002460024600246002,3.276843292072579e-33
['Robert B. Rovinsky',0.0004920049200492004,0.0,0.0004920049200492004,1.3929238239051083e-24
'Christine A. Shoemaker',0.0004920049200492004,0.0,0.0004920049200492004,1.3929238239051083e-24
'Michael J. Todd'],0.0004920049200492004,0.0,0.0004920049200492004,1.3929238239051083e-24
['Michael J. McLane',0.0004920049200492004,0.0,0.0004920049200492004,1.3929238239051083e-24
'James L. Melsa',0.0004920049200492004,0.0,0.0004920049200492004,1.3929238239051083e-24
'David L. Cohn'],0.0004920049200492004,0.0,0.0004920049200492004,1.3929238239051083e-24
'M. Swamy'],0.0004920049200492004,0.0,0.0006560065600656006,5.635432923051059e-17
['Margrethe H. Olson',0.0002460024600246002,0.0,0.0002460024600246002,3.276843292072579e-33
'Norman L. Chervany'],0.0002460024600246002,0.0,0.0002460024600246002,3.276843292072579e-33
['Shuji Tsukiyama',0.0007380073800738007,0.0,0.0012941868549120276,7.946314576569685e-11
'Hiroshi Ozaki',0.0007380073800738007,0.0,0.0012941868549120276,7.946314576569685e-11
'Hiromu Ariyoshi'],0.0007380073800738007,0.0,0.0012941868549120276,7.946314576569685e-11
'John Sorensen'],0.0007380073800738007,0.0,0.0008785802143735724,4.258327894332857e-12
['Avinash Vaidya',0.0002460024600246002,0.0,0.0005622913371990862,1.0446928679288314e-24
['D. M. Himmelblau',0.0002460024600246002,0.0,0.0002460024600246002,3.276843292072579e-33
'Jocelyn Lindsay'],0.0002460024600246002,0.0,0.0002460024600246002,3.276843292072579e-33
'R. W. Fries'],0.0002460024600246002,0.0,0.0003280032800328003,2.832860302274036e-29
['Michael Hatzopoulos',0.0002460024600246002,0.0,0.0002460024600246002,3.276843292072579e-33
'John G. Kollias'],0.0002460024600246002,0.0,0.0002460024600246002,3.276843292072579e-33
['D. C. Clary',0.0004920049200492004,0.0,0.0004920049200492004,1.3929238239051083e-24
'Robert Kirk',0.0004920049200492004,0.0,0.0004920049200492004,1.3929238239051083e-24
'Steve Sapiro'],0.0004920049200492004,0.0,0.0004920049200492004,1.3929238239051083e-24
['Luigia Carlucci Aiello',0.0002460024600246002,0.0,0.0002460024600246002,3.276843292072579e-33
